TAG,TEXT,LINK
<p>,"An Act to provide for setting out the practical regime of right to information for citizens to secure access to information under the control of public authorities, in order to promote transparency and accountability in the working of every public authority, the constitution of a Central Information Commission and State Information Commissions and for matters connected therewith or incidental thereto.","https://pec.ac.in/node/549"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/node/549"
<p>,"Quick Links","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country.","https://pec.ac.in/tnp/about-cell"
<p>,"The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students.","https://pec.ac.in/tnp/about-cell"
<p>,"Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum .","https://pec.ac.in/tnp/about-cell"
<p>,"Centre takes care of :","https://pec.ac.in/tnp/about-cell"
<p>,"a) Career Development & Guidance Program","https://pec.ac.in/tnp/about-cell"
<p>,"b) Internship & Full Time Placement Activities","https://pec.ac.in/tnp/about-cell"
<p>,"c) Facilitate Pre-Placement visits to the companies","https://pec.ac.in/tnp/about-cell"
<p>,"d) Communication, Networking & Relationship Building with Potential Recruiters.","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"","https://pec.ac.in/tnp/about-cell"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/tnp/about-cell"
<p>,"Quick Links","https://pec.ac.in/institute-functionaries"
<p>,"","https://pec.ac.in/institute-functionaries"
<p>,"S.No.","https://pec.ac.in/institute-functionaries"
<p>,"Name of committee","https://pec.ac.in/institute-functionaries"
<p>,"Chairperson","https://pec.ac.in/institute-functionaries"
<p>,"Members (Prof./ Dr./ Sh./ Ms.)","https://pec.ac.in/institute-functionaries"
<p>,"1","https://pec.ac.in/institute-functionaries"
<p>,"Standing Committee for Recruitment","https://pec.ac.in/institute-functionaries"
<p>,"Director","https://pec.ac.in/institute-functionaries"
<p>,"3","https://pec.ac.in/institute-functionaries"
<p>,"Institutional Purchase/ Tender Committee","https://pec.ac.in/institute-functionaries"
<p>,"Deputy Director","https://pec.ac.in/institute-functionaries"
<p>,"4","https://pec.ac.in/institute-functionaries"
<p>,"Library Advisory Committee","https://pec.ac.in/institute-functionaries"
<p>,"R. Sehmi, Applied Science Department","https://pec.ac.in/institute-functionaries"
<p>,"5","https://pec.ac.in/institute-functionaries"
<p>,"Standing Committee of Senate","https://pec.ac.in/institute-functionaries"
<p>,"Uma Batra, Department of Materials and Metallurgical Engineering","https://pec.ac.in/institute-functionaries"
<p>,"6","https://pec.ac.in/institute-functionaries"
<p>,"Faculty & Staff Grievance Redressal Committee","https://pec.ac.in/institute-functionaries"
<p>,"Deputy Director","https://pec.ac.in/institute-functionaries"
<p>,"7","https://pec.ac.in/institute-functionaries"
<p>,"Sexual Harassment & Violence against Women Committee at Workplace","https://pec.ac.in/institute-functionaries"
<p>,"Rintu Khanna, Electrical Engineering Department","https://pec.ac.in/institute-functionaries"
<p>,"8","https://pec.ac.in/institute-functionaries"
<p>,"Performance based award for Faculty & Staff","https://pec.ac.in/institute-functionaries"
<p>,"Deputy Director","https://pec.ac.in/institute-functionaries"
<p>,"9","https://pec.ac.in/institute-functionaries"
<p>,"Commercial & House Allotment Committee","https://pec.ac.in/institute-functionaries"
<p>,"Deputy Director","https://pec.ac.in/institute-functionaries"
<p>,"10","https://pec.ac.in/institute-functionaries"
<p>,"Master Plan & Space Allocation Committee","https://pec.ac.in/institute-functionaries"
<p>,"Deputy Director","https://pec.ac.in/institute-functionaries"
<p>,"Auction & Disposal Committee","https://pec.ac.in/institute-functionaries"
<p>,"Deputy Director","https://pec.ac.in/institute-functionaries"
<p>,"*Shall coordinate/ convener of the committee.","https://pec.ac.in/institute-functionaries"
<p>,"","https://pec.ac.in/institute-functionaries"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/institute-functionaries"
<p>,"Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.","https://pec.ac.in/"
<p>,"PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life.","https://pec.ac.in/"
<p>,"A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India.","https://pec.ac.in/"
<p>,"PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi.","https://pec.ac.in/"
<p>,"","https://pec.ac.in/"
<p>,"","https://pec.ac.in/"
<p>,"","https://pec.ac.in/"
<p>,"","https://pec.ac.in/"
<p>,"","https://pec.ac.in/"
<p>,"","https://pec.ac.in/"
<p>,"One week STC on Micro Manufacturing from 4th to 8th January, 2021","https://pec.ac.in/"
<p>,"Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19","https://pec.ac.in/"
<p>,"Manual to Access pec.edu.in Email ID","https://pec.ac.in/"
<p>,"As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.","https://pec.ac.in/"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/"
<p>,"Quick Links","https://pec.ac.in/institute"
<p>,"","https://pec.ac.in/institute"
<p>,"The Punjab Engineering College (Deemed to be University), Chandigarh was orginally established as Mugalpura Engineering College at Lahore (now in Pakistan) on November 9, 1921.Towards the end of December 1953, the college shifted to its present campus in Chandigarh to function under Govt. of Punjab.","https://pec.ac.in/institute"
<p>,"Read More","https://pec.ac.in/institute"
<p>,"The college campus extends over an area of 149 acres of the land situated close to the beautiful Shivalik hills. The campus is divided into various functional zones like hostels, Main College Building, Administration Block, Residential Complex for staff and faculty and a shopping centre.","https://pec.ac.in/institute"
<p>,"Read More","https://pec.ac.in/institute"
<p>,"The college is situated in Sector 12 at the north end of Chandigarh.The college campus extends over an area of 146 acres of the land situated close to the beautiful Shivalik hills.","https://pec.ac.in/institute"
<p>,"Read More","https://pec.ac.in/institute"
<p>,"Latest news and information about happenings and events on the campus.","https://pec.ac.in/institute"
<p>,"Read More","https://pec.ac.in/institute"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/institute"
<p>,"Quick Links","https://pec.ac.in/history"
<p>,"","https://pec.ac.in/history"
<p>,"Punjab Engineering College (Deemed to be University) (PEC) having its roots in Lahore as Mugalpura Engineering College since 1921, moved to its present campus in 1953 as PEC affiliated to Panjab University. The institute became Deemed University in 2003 through a MHRD notification and rechristened as PEC University of Technology in 2009.","https://pec.ac.in/history"
<p>,"It is a Grant-in-Aid institution under administration of Union Territory of Chandigarh, Government of India. The institute has a 146 acres sprawling and pious campus and is house of Chandigarh College of Architecture also. The academic and administrative processes are similar to IITs in the country. The institute governance is through a vibrant Board of Governors, chaired by a renowned industrialist, Sh. Rajinder Gupta. The institute is headed by a Director on 5 years tenure; a position, which is equivalent to Vice Chancellor of Universities.","https://pec.ac.in/history"
<p>,"The institute offers 8 Undergraduate B. Tech. Programmes and 14 Post graduate M. Tech. Programmes in various disciplines of engineering and technology. After becoming University, the institute has also started PhD programme in various disciplines of engineering, science, management, humanities and social sciences. The admission to UG and PG programmes are made through national level examinations namely JEE (Mains) and GATE respectively. There are 9 academic departments and 2 centers of excellence.","https://pec.ac.in/history"
<p>,"The faculty of academic departments and centers is involved in cutting edge research and development works. The institute collaborates very closely with research organisations, industries, alumni and other academic institutions both India and abroad, and has signed MoUs to pursue joint research in niche areas. The students graduating from this institute are placed in highly reputed companies with handsome salary packages.","https://pec.ac.in/history"
<p>,"With a history of about 96 years now, the institute has produced a number of alumni who have earned name and fame both for themselves and the institute.","https://pec.ac.in/history"
<p>,"","https://pec.ac.in/history"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/history"
<p>,"Quick Links","https://pec.ac.in/vision"
<p>,"","https://pec.ac.in/vision"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/vision"
<p>,"Quick Links","https://pec.ac.in/campus"
<p>,"","https://pec.ac.in/campus"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/campus"
<p>,"Quick Links","https://pec.ac.in/location"
<p>,"","https://pec.ac.in/location"
<p>,"","https://pec.ac.in/location"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/location"
<p>,"Quick Links","https://pec.ac.in/all_events"
<p>,"","https://pec.ac.in/all_events"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/all_events"
<p>,"Quick Links","https://pec.ac.in/balance-sheets"
<p>,"","https://pec.ac.in/balance-sheets"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/balance-sheets"
<p>,"Quick Links","https://pec.ac.in/faculty-affairs"
<p>,"","https://pec.ac.in/faculty-affairs"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/faculty-affairs"
<p>,"Quick Links","https://pec.ac.in/institute/iqac-reports"
<p>,"","https://pec.ac.in/institute/iqac-reports"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/institute/iqac-reports"
<p>,"Quick Links","https://pec.ac.in/administration"
<p>,"","https://pec.ac.in/administration"
<p>,"The Punjab Engineering College (Deemed to be University) is led by Director, Prof. Dheeraj Sanghi, governed by a Board of Governors and Senate and supported by various Institute Functionaries.","https://pec.ac.in/administration"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/administration"
<p>,"Quick Links","https://pec.ac.in/board-of-governors"
<p>,"","https://pec.ac.in/board-of-governors"
<p>,"Provision","https://pec.ac.in/board-of-governors"
<p>,"Presently Occupied By","https://pec.ac.in/board-of-governors"
<p>,"An eminent educationist/ industrialist to be selected by the Chandigarh Administration","https://pec.ac.in/board-of-governors"
<p>,"Sh. Rajinder Gupta, Chairman, Trident Industries, E-212, Kitchlu Nagar, Ludhiana, Punjab.","https://pec.ac.in/board-of-governors"
<p>,"Chairman","https://pec.ac.in/board-of-governors"
<p>,"Ex-officio","https://pec.ac.in/board-of-governors"
<p>,"Secretary Technical Education, Chandigarh Administration","https://pec.ac.in/board-of-governors"
<p>,"Sh. Arun Kumar Gupta, IAS","https://pec.ac.in/board-of-governors"
<p>,"Vice Chairman","https://pec.ac.in/board-of-governors"
<p>,"Ex-officio","https://pec.ac.in/board-of-governors"
<p>,"Finance Secretary, Chandigarh Administration","https://pec.ac.in/board-of-governors"
<p>,"Sh. Ajoy Kumar Sinha, IAS","https://pec.ac.in/board-of-governors"
<p>,"Member","https://pec.ac.in/board-of-governors"
<p>,"Ex-officio, Vice Chancellor, Panjab University, Chandigarh or his nominee","https://pec.ac.in/board-of-governors"
<p>,"Prof. Raj Kumar","https://pec.ac.in/board-of-governors"
<p>,"Member","https://pec.ac.in/board-of-governors"
<p>,"Ex-officio, Joint Secretary/ Special Secretary Technical Education, U.T., Chandigarh","https://pec.ac.in/board-of-governors"
<p>,"Sh. Sachin Rana, IAS","https://pec.ac.in/board-of-governors"
<p>,"Member","https://pec.ac.in/board-of-governors"
<p>,"Nominee of the Department of Secondary Education & Higher Education, MHRD, GOI","https://pec.ac.in/board-of-governors"
<p>,"","https://pec.ac.in/board-of-governors"
<p>,"Nominee of Ministry of Home Affairs, GOI","https://pec.ac.in/board-of-governors"
<p>,"Director IIT, Delhi or his nominee","https://pec.ac.in/board-of-governors"
<p>,"Nominee of the Chairman, UGC","https://pec.ac.in/board-of-governors"
<p>,"","https://pec.ac.in/board-of-governors"
<p>,"Chairman CII, Northern Region","https://pec.ac.in/board-of-governors"
<p>,"Mr. Nikhil Sawhney","https://pec.ac.in/board-of-governors"
<p>,"Member","https://pec.ac.in/board-of-governors"
<p>,"Director CSIO Chandigarh","https://pec.ac.in/board-of-governors"
<p>,"Dr. Sanjay Kumar","https://pec.ac.in/board-of-governors"
<p>,"Member","https://pec.ac.in/board-of-governors"
<p>,"Two Technologists/ Engineers/ Educationalists to be nominated by the Chandigarh Administration","https://pec.ac.in/board-of-governors"
<p>,"Sh. Kiran Malhotra, Advisor Business Development in Automative Industry, Hoebiger Drive Tech., Germany.","https://pec.ac.in/board-of-governors"
<p>,"Sh. Arun Kumar Grover, Former Vice Chancellor, H-1, Panjab University, Sector - 14, Chandigarh.","https://pec.ac.in/board-of-governors"
<p>,"Members","https://pec.ac.in/board-of-governors"
<p>,"Two eminent industralists to be nominated by the Chandigarh Administration","https://pec.ac.in/board-of-governors"
<p>,"Sh. A.K. Taneja, MD & CEO, Shriram Pistons & Rings Limited, 3rd Floor, Himalaya House 23, Kasturba Gandhi Marg, New Delhi - 110001.","https://pec.ac.in/board-of-governors"
<p>,"Sh. Sanjeev Aggarwal, Senior Managing Director, Helion Advisors Pvt. Ltd., Tower 'B', 10th Floor, Vatika Towers, Sector - 54, Gurgaon - 122002.","https://pec.ac.in/board-of-governors"
<p>,"Members","https://pec.ac.in/board-of-governors"
<p>,"An eminent alumnus of the Institiute to be nominated by the Chandigarh Administration","https://pec.ac.in/board-of-governors"
<p>,"Sh. Purushottam Kaushik, Senior Advisor, MCKinsey and Company, 21st Floor, Express Towers, Nariman Point, Mumbai - 400021.","https://pec.ac.in/board-of-governors"
<p>,"Member","https://pec.ac.in/board-of-governors"
<p>,"Two persons of the Institute to be nominated by the Senate","https://pec.ac.in/board-of-governors"
<p>,"Prof. Siby John, Civil Engineering Department","https://pec.ac.in/board-of-governors"
<p>,"Prof. Sanjeev Sofat, Computer Science & Engineering Department","https://pec.ac.in/board-of-governors"
<p>,"Members","https://pec.ac.in/board-of-governors"
<p>,"Ex-officio Director of Institute","https://pec.ac.in/board-of-governors"
<p>,"Dr. Dheeraj Sanghi","https://pec.ac.in/board-of-governors"
<p>,"Member","https://pec.ac.in/board-of-governors"
<p>,"Ex-officio Registrar of the Institute","https://pec.ac.in/board-of-governors"
<p>,"Dr. Sushant Samir","https://pec.ac.in/board-of-governors"
<p>,"Member Secretary","https://pec.ac.in/board-of-governors"
<p>,"","https://pec.ac.in/board-of-governors"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/board-of-governors"
<p>,"Quick Links","https://pec.ac.in/chairman-bog"
<p>,"","https://pec.ac.in/chairman-bog"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/chairman-bog"
<p>,"Quick Links","https://pec.ac.in/director"
<p>,"","https://pec.ac.in/director"
<p>,"Director Punjab Engineering College (Deemed to be University) Sector 12 ,Chandigarh,U.T Pin : 160012, India director [*AT] pec.edu.in +91 172 2746074, 2753051","https://pec.ac.in/director"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/director"
<p>,"Quick Links","https://pec.ac.in/senate-members"
<p>,"","https://pec.ac.in/senate-members"
<p>,"Name/Designation","https://pec.ac.in/senate-members"
<p>,"Capacity","https://pec.ac.in/senate-members"
<p>,"","https://pec.ac.in/senate-members"
<p>,"Director","https://pec.ac.in/senate-members"
<p>,"ex-officio, Chairman","https://pec.ac.in/senate-members"
<p>,"","https://pec.ac.in/senate-members"
<p>,"Deputy Director","https://pec.ac.in/senate-members"
<p>,"ex-officio","https://pec.ac.in/senate-members"
<p>,"","https://pec.ac.in/senate-members"
<p>,"Heads of all the Academic Departments","https://pec.ac.in/senate-members"
<p>,"ex-officio","https://pec.ac.in/senate-members"
<p>,"Dr. Asha Gupta, Applied Sciences Department","https://pec.ac.in/senate-members"
<p>,"Two Professors, other than Deans/ Heads of departments by rotation","https://pec.ac.in/senate-members"
<p>,"Dr. Sanjeev Kumar, Mechanical Engineering Department","https://pec.ac.in/senate-members"
<p>,"Prof. S. K. Sharma, Civil Engineering Department","https://pec.ac.in/senate-members"
<p>,"Two Associate Professors from the departments, elected from amongst the Associate Professors","https://pec.ac.in/senate-members"
<p>,"Prof. Arun K. Singh, Electonics & Communication Engineering Department","https://pec.ac.in/senate-members"
<p>,"Prof. Tejinder Singh Saggu, Electrical Engineering Department","https://pec.ac.in/senate-members"
<p>,"Two Assistant Professors from the departments, elected from amongst the Assistant Professors","https://pec.ac.in/senate-members"
<p>,"","https://pec.ac.in/senate-members"
<p>,"Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions","https://pec.ac.in/senate-members"
<p>,"Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors","https://pec.ac.in/senate-members"
<p>,"Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh","https://pec.ac.in/senate-members"
<p>,"Ms. Seema Vasishta, Senior Librarian","https://pec.ac.in/senate-members"
<p>,"","https://pec.ac.in/senate-members"
<p>,"Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge","https://pec.ac.in/senate-members"
<p>,"Registrar","https://pec.ac.in/senate-members"
<p>,"ex-officio, Secretary","https://pec.ac.in/senate-members"
<p>,"","https://pec.ac.in/senate-members"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/senate-members"
<p>,"Quick Links","https://pec.ac.in/building-works-committee"
<p>,"","https://pec.ac.in/building-works-committee"
<p>,"Sr. No","https://pec.ac.in/building-works-committee"
<p>,"Name","https://pec.ac.in/building-works-committee"
<p>,"Capacity","https://pec.ac.in/building-works-committee"
<p>,"1.","https://pec.ac.in/building-works-committee"
<p>,"Dr. Dheeraj Sanghi, Director","https://pec.ac.in/building-works-committee"
<p>,"Chairman","https://pec.ac.in/building-works-committee"
<p>,"2.","https://pec.ac.in/building-works-committee"
<p>,"Prof. Sushant Samir, Registrar (Ad-Interim)","https://pec.ac.in/building-works-committee"
<p>,"Member Secretary","https://pec.ac.in/building-works-committee"
<p>,"3.","https://pec.ac.in/building-works-committee"
<p>,"Prof. Umesh Sharma, Dean, Infrastructure, Planning and Estate.","https://pec.ac.in/building-works-committee"
<p>,"Member","https://pec.ac.in/building-works-committee"
<p>,"4.","https://pec.ac.in/building-works-committee"
<p>,"Dr. R. K. Sinha, BOG Nominee","https://pec.ac.in/building-works-committee"
<p>,"Member","https://pec.ac.in/building-works-committee"
<p>,"5.","https://pec.ac.in/building-works-committee"
<p>,"Sh. Anup Chauhan, Cheif Engineer, PWD ( B&R) Retd.","https://pec.ac.in/building-works-committee"
<p>,"Member","https://pec.ac.in/building-works-committee"
<p>,"6.","https://pec.ac.in/building-works-committee"
<p>,"Sh. V.K. Jain, S.E, UHBVN Retd.","https://pec.ac.in/building-works-committee"
<p>,"Member","https://pec.ac.in/building-works-committee"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/building-works-committee"
<p>,"Quick Links","https://pec.ac.in/finance-committee"
<p>,"","https://pec.ac.in/finance-committee"
<p>,"Sr. No","https://pec.ac.in/finance-committee"
<p>,"Name/ Designation","https://pec.ac.in/finance-committee"
<p>,"Capacity","https://pec.ac.in/finance-committee"
<p>,"Sh. Rajinder Gupta","https://pec.ac.in/finance-committee"
<p>,"Chairman","https://pec.ac.in/finance-committee"
<p>,"Sh. Ajoy Kumar Sinha, IAS, Finance Secretary, UT Chandigarh","https://pec.ac.in/finance-committee"
<p>,"Member (Ex-officio)","https://pec.ac.in/finance-committee"
<p>,"Sh. Sachin Rana, IAS, Special Secretary, Technical Education","https://pec.ac.in/finance-committee"
<p>,"Member (Ex-officio)","https://pec.ac.in/finance-committee"
<p>,"Prof. R.K.Sinha, Director, CSIO","https://pec.ac.in/finance-committee"
<p>,"Member","https://pec.ac.in/finance-committee"
<p>,"Prof. Siby John, PEC","https://pec.ac.in/finance-committee"
<p>,"Member","https://pec.ac.in/finance-committee"
<p>,"One nominee of MHRD","https://pec.ac.in/finance-committee"
<p>,"Member (Ex-officio)","https://pec.ac.in/finance-committee"
<p>,"One nominee of the UGC","https://pec.ac.in/finance-committee"
<p>,"Member (Ex-officio)","https://pec.ac.in/finance-committee"
<p>,"Director","https://pec.ac.in/finance-committee"
<p>,"Member (Ex-officio)","https://pec.ac.in/finance-committee"
<p>,"Registrar","https://pec.ac.in/finance-committee"
<p>,"Member (Ex-officio)","https://pec.ac.in/finance-committee"
<p>,"AC(F&A)","https://pec.ac.in/finance-committee"
<p>,"Special Invitee","https://pec.ac.in/finance-committee"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/finance-committee"
<p>,"Quick Links","https://pec.ac.in/grievance-redressal-committee"
<p>,"","https://pec.ac.in/grievance-redressal-committee"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/grievance-redressal-committee"
<p>,"Quick Links","https://pec.ac.in/minutes-meetings"
<p>,"","https://pec.ac.in/minutes-meetings"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/minutes-meetings"
<p>,"Quick Links","https://pec.ac.in/programmes"
<p>,"","https://pec.ac.in/programmes"
<p>,"Punjab Engineering College (Deemed to be University), Chandigarh has been conferred the Deemed University status in 2004. Earlier the college was affiliated to the Panjab University, Chandigarh. Punjab Engineering College (Deemed to be University), Chandigarh offers a wide range of academic programmes at the undergraduate, postgraduate and the research levels.","https://pec.ac.in/programmes"
